Timestamp,Attention,Status,Head Direction,Eyes Open,Blink Count,Blink Rate
2026-08-08 23:56:29,95,Highly Attentive,Forward,True,44,27.0
2026-08-08 23:56:30,96,Highly Attentive,Forward,True,44,26.7
2026-08-08 23:56:31,95,Highly Attentive,Left,True,45,27.1
2026-08-08 23:56:32,65,Slightly Distracted,Left,True,45,26.8
2026-08-08 23:56:33,65,Slightly Distracted,Left,True,45,26.5
2026-08-08 23:56:34,65,Slightly Distracted,Left,True,45,26.2
2026-08-08 23:56:35,65,Slightly Distracted,Left,True,45,26.0
2026-08-08 23:56:36,65,Slightly Distracted,Left,True,45,25.7
2026-08-08 23:56:37,64,Slightly Distracted,Left,True,45,25.5
2026-08-08 23:56:38,87,Highly Attentive,Forward,True,47,26.4
2026-08-08 23:56:39,88,Highly Attentive,Forward,False,51,28.4
2026-08-08 23:56:40,87,Highly Attentive,Forward,True,55,30.3
2026-08-08 23:56:41,77,Attentive,Forward,False,59,32.2
2026-08-08 23:56:42,82,Attentive,Forward,True,62,33.5
2026-08-08 23:56:43,87,Highly Attentive,Forward,True,62,33.2
2026-08-08 23:56:44,90,Highly Attentive,Forward,True,62,32.9
2026-08-08 23:56:45,88,Highly Attentive,Forward,True,63,33.1
2026-08-08 23:56:46,90,Highly Attentive,Forward,True,63,32.8
2026-08-08 23:56:47,90,Highly Attentive,Forward,True,63,32.6
2026-08-08 23:56:48,90,Highly Attentive,Forward,True,63,32.3
2026-08-08 23:56:49,87,Highly Attentive,Forward,True,64,32.5
2026-08-08 23:56:50,86,Highly Attentive,Forward,True,65,32.7
2026-08-08 23:56:51,90,Highly Attentive,Forward,True,65,32.5
2026-08-08 23:56:52,88,Highly Attentive,Forward,True,65,32.2
2026-08-08 23:56:53,82,Attentive,Left,True,65,31.9
2026-08-08 23:56:54,59,Slightly Distracted,Forward,True,67,32.6
2026-08-08 23:56:55,84,Attentive,Forward,True,67,32.4
2026-08-08 23:56:56,56,Slightly Distracted,Left,True,67,32.1
2026-08-08 23:56:57,47,Distracted,Left,True,69,32.8
2026-08-08 23:56:58,45,Distracted,Left,False,69,32.5
2026-08-08 23:56:59,44,Distracted,Left,True,70,32.7
2026-08-08 23:57:02,56,Slightly Distracted,Forward,True,70,32.0
2026-08-08 23:57:03,56,Slightly Distracted,Right,True,70,31.7
2026-08-08 23:57:04,56,Slightly Distracted,Forward,True,73,32.8
2026-08-08 23:57:06,88,Highly Attentive,Forward,True,73,32.5
2026-08-08 23:57:07,90,Highly Attentive,Forward,True,73,32.3
2026-08-08 23:57:08,90,Highly Attentive,Forward,True,73,32.1
2026-08-08 23:57:09,90,Highly Attentive,Forward,True,73,31.8
2026-08-08 23:57:10,90,Highly Attentive,Forward,True,73,31.6
2026-08-08 23:57:11,90,Highly Attentive,Forward,True,73,31.3
2026-08-08 23:57:12,90,Highly Attentive,Forward,True,73,31.1
2026-08-08 23:57:13,90,Highly Attentive,Forward,True,73,30.9
2026-08-08 23:57:14,90,Highly Attentive,Forward,True,73,30.7
